[rank0]:[titan] 2026-06-12 00:39:29,160 - root - INFO - step: 32  loss:  3.05409  grad_norm:  4.2500  memory:  1.33GiB(6.04%)  tps: 3,531  tflops: 3.70  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:29,450 - root - INFO - step: 33  loss:  2.93958  grad_norm:  3.5938  memory:  1.33GiB(6.04%)  tps: 3,542  tflops: 3.71  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:29,738 - root - INFO - step: 34  loss:  3.01728  grad_norm:  3.0156  memory:  1.33GiB(6.04%)  tps: 3,558  tflops: 3.73  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:30,027 - root - INFO - step: 35  loss:  3.17319  grad_norm:  3.1250  memory:  1.33GiB(6.04%)  tps: 3,542  tflops: 3.71  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:30,317 - root - INFO - step: 36  loss:  3.12807  grad_norm:  3.2969  memory:  1.33GiB(6.04%)  tps: 3,527  tflops: 3.70  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:30,609 - root - INFO - step: 37  loss:  2.83392  grad_norm:  3.7031  memory:  1.33GiB(6.04%)  tps: 3,513  tflops: 3.68  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:30,901 - root - INFO - step: 38  loss:  2.95963  grad_norm:  2.9062  memory:  1.33GiB(6.04%)  tps: 3,510  tflops: 3.68  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:31,191 - root - INFO - step: 39  loss:  2.99407  grad_norm:  4.3438  memory:  1.33GiB(6.04%)  tps: 3,530  tflops: 3.70  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:31,481 - root - INFO - step: 40  loss:  3.01866  grad_norm:  3.4531  memory:  1.33GiB(6.04%)  tps: 3,539  tflops: 3.71  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:31,769 - root - INFO - step: 41  loss:  2.83543  grad_norm:  3.4062  memory:  1.33GiB(6.04%)  tps: 3,553  tflops: 3.73  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:32,061 - root - INFO - step: 42  loss:  2.86407  grad_norm:  3.1875  memory:  1.33GiB(6.04%)  tps: 3,508  tflops: 3.68  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:32,349 - root - INFO - step: 43  loss:  2.97466  grad_norm:  2.5000  memory:  1.33GiB(6.04%)  tps: 3,556  tflops: 3.73  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:32,638 - root - INFO - step: 44  loss:  3.06136  grad_norm:  3.1562  memory:  1.33GiB(6.04%)  tps: 3,546  tflops: 3.72  mfu: N/A
